city,name,latitude,longitude,stars,state,address,wifi,restaurantsdelivery,restaurantsgoodforgroups,restaurantspricerange,businessparking,business_id,postal_code,review_count
Affton,Tsevi's Pub And Grill,38.5651648,-90.3210868,3,MO,8025 Mackenzie Rd,u'free',False,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",k0hlBqXX-Bt0vf1op7Jr1w,63123,19
Indianapolis,Denny's,39.6371332838,-86.127217412,2.5,IN,8901 US 31 S,u'no',True,True,1,"{'garage': None, 'street': False, 'validated': None, 'lot': True, 'valet': False}",il_Ro8jwPlHresjw9EGmBg,46227,28
Philadelphia,Craft Hall,39.9625821,-75.1356571,3.5,PA,901 N Delaware Ave,NA,True,NA,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",aPNXGTDkf-4bjhyMBQxqpQ,19123,65
Nashville,Caviar & Bananas,36.1483712,-86.7988947,3.5,TN,2031 Broadway,'free',True,True,2,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",lk9IwjZXqUMqqOhM774DtQ,37203,159
Indianapolis,Twin Peaks,39.9062952,-86.0474634,3.5,IN,6880 E 82nd St,'free',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",seKihQKpGGnCeLuELRQPSQ,46250,257
Williamstown,Sharky's Sports Bar & Grill,39.6968014,-74.9998214,2.5,NJ,820 N Black Horse Pike,'free',False,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",8rb-3VYXE37IZix4yOdskw,08094,29
Glenolden,39 North Taproom & Grill,39.9036968861,-75.2949812448,4.5,PA,110 S MacDade Blvd,u'free',True,NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",aCDY7vXYMs54EbYuQScsnQ,19036,25
Saint Louis,Ricardo's Italian Cafe,38.6172724,-90.2127841,3.5,MO,1931 Park Ave,'no',False,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",1MeIwdbTnZOBFCKOrgaxuw,63104,80
Woodbury,Nipper's Pub,39.8444681,-75.1248703,3.5,NJ,1205 Delsea Dr,u'no',False,True,1,"{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False}",Cdytv_YhJO0W0Ab8t2xLtg,08096,29
Clearwater,530 Pub & Grill,27.9657471097,-82.7989008,4.5,FL,530 Cleveland St,NA,True,NA,NA,NA,ZU6NodDOWaabGkeNpOWdXw,33755,6
Normandy,Oscar's Cafe,38.704765,-90.299811,4,MO,7520 Natural Bridge Rd,NA,False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",wjyUxHxkrvUvCOVqy4g_wg,63121,11
Philadelphia,Jon's Bar & Grille,39.9412993,-75.1477446,3,PA,300 South St,u'no',False,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",VbItL6RDULtnw4YvB6EhVg,19147,178
Virginia City,The Cider Factory,39.305224,-119.652596,4.5,NV,420 S B St,'no',True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': None, 'valet': False}",Pr_Mlt9FqdcW7WCFGJmozA,89440,104
Brandon,Brandon Burgers,27.9373704213,-82.3077001423,3.5,FL,1513 W Brandon Blvd,NA,True,NA,NA,NA,SRexiuEsx1d9-dZVUsssQA,33511,24
Exton,World of Beer,40.0236651,-75.6291878,3,PA,"102 Main St, Ste 100",u'free',True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",xJyp6RLqNRv3tSu6njPKxQ,19341,208
Odessa,G Peppers Grill & Tavern,28.0921362,-82.5785736,4,FL,8745 Gunn Hwy,u'free',False,True,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",XwoXi0M66RU6Gouq-DSDHw,33556,82
Malvern,Baxter's Saloon & Grill,40.0536347,-75.526719,2.5,PA,20 Liberty Blvd,u'free',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",PCM-vL-vRLJ4HB2OE8Nnbg,19355,31
Maple Shade,Brewster's Pub,39.9394973,-74.9743023,3.5,NJ,2825 Route 73 S,'free',False,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",rmHgqdVkLsGN2byesWRo0w,08052,12
Reno,emPIEnada,39.5428346,-119.8569115,4.5,NV,3683 Kings Row,NA,True,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",KdkMXzeoqpfNsZd-_axoTQ,89503,41
Philadelphia,The Twisted Tail,39.9418766,-75.1451988,4,PA,509 S 2nd St,u'free',False,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",7mpYTDb24SywNMRn3yeakQ,19147,604
