business_id,checkin_count
--ZVrH2X2QXBFdCilbirsw,67
--onnLZrsCazmcy2P_7fcw,53
-09Oc2D14vRnmirPh0vlXw,500
17AnbEkqAiE66YFTDYFvgw,460
-0FX23yAacC4bbLaGPvyxw,63
-63ytt5vkWof-M9NDGTkng,15
-66jJ8Hl0vLV5PMxySNbXA,33
-6JdVK-DHB4_43PEksbg1A,555
-97632CUoOkJ8x4AlkPJxQ,2
-AQyGGLrejN1uLaJM-a6mQ,28
-DcAq3aOYlMTM0vzOIAMMw,77
-DsC3cvCBEy_FNJ7U-i9zg,181
-EAUflIYeDktN8f7wHpHOg,50
-EZ84vTWjXnQCeE1-qVuSA,32
-FIYPnxsg3kuHXx46zY18w,77
-FM4CxOg4XXmX_Ebky_SiQ,2907
-FPHImCrh555pkxNetpreA,71
-FasKNAqishyfjAarVgJtw,567
-RckAAIJ-_KH0AzqrekYuw,64
-RqhN7_aKNLiVqnUmx7iig,27
-SFSt3FkjGfavnyMpHsZPA,9
-SZ-p4o6gJPOJ--HA3NKcw,490
-T-hEoNi7KRHtKEUWeckUw,48
-T1sYi2cqB2oW4GeUXmIBQ,294
-T2221hiXtMFXkNXPAcVCA,7
-T7DOQMC_XmMn80ugBL_6A,19
-VbtijUhH4xVP7cZbEo6-Q,124
-VcywFc95xKkt598Ujsapw,19
-VxMtgvETrk7a7_WQu4gXA,103
-WfGgYMcJKttsCu7WDrBrg,102
-batkL1-Uy3AREDdw3Dqtg,16
-Z1x1qX_wIIckLkY7G__8w,62
-ZWx-IzLlKOMesKPix9JpA,45
-c6hc8kxFzeaIKoM6nWS-Q,160
-cE9GrThz6HHn2zdpoqY_w,812
-iOgafQZPQAiLJZwegPseQ,27
-imlMPrEJ8cc99qjEclKVA,262
-lpV42lgu8mBfKala8bihA,69
-mBc7M9Q3fEIxuUxwOleZg,153
-mDAFyX5kZHXhxjELeMhiQ,1467
-mIlmp5l4hKlp1tvHRdvTg,3432
-mitV3FhrCz3m2wk8ldKDg,846
-mpK4taJ2aEhqdC7DjxUnQ,135
0ALY2NFAhLWeWYw1bh3eJw,25
